id;name;specialization;available_from;available_to
1;perfectly violent;PULMONOLOGIST;2024-10-25T01:02:44;2024-10-24T20:41:05
2;yowza flat ashamed;GENERAL_PRACTITIONER;2024-10-25T05:05:20;2024-10-25T07:01:06
3;rust attribute;ANESTHESIOLOGIST;2024-10-24T19:04:22;2024-10-24T19:51:46
4;meh or;PEDIATRICIAN;2024-10-24T22:02:48;2024-10-25T03:41:25
5;ick;SPORTS_MEDICINE_SPECIALIST;2024-10-25T05:50:45;2024-10-25T00:18:24
6;solemnly;NEUROLOGIST;2024-10-25T06:41:14;2024-10-24T21:28:36
7;bewail darling;GENERAL_PRACTITIONER;2024-10-24T07:45:18;2024-10-24T23:42:04
8;towards ack simplistic;ENDOCRINOLOGIST;2024-10-25T06:59:19;2024-10-24T17:28:37
9;unused;UROLOGIST;2024-10-25T02:47:15;2024-10-24T08:37:48
10;outgoing unnecessarily reel;PULMONOLOGIST;2024-10-24T21:33:56;2024-10-24T22:27:51
